County	Sale Date	Sale Time	Parcel ID	Case #	Certificate #	Owner	Mailing Address	Property Address	Property Use	Acres	Opening Bid	Assessed Value	Bid/Value %	Buy-Box	Buy-Box Notes	Status	Auction Page	Appraiser Record	Latitude	Longitude
santarosa	08/17/2026		10-1N-28-0870-00200-0041	2026099	2400781			4924 HENRY ST, MILTON, FL- 32570			4793.42	55983.0	9	NO	excluded county (coastal/metro)	Redeemed	https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026	http://srcpa.gov/Parcel/Index2?parcel=10-1N-28-0870-00200-0041	30.613931	-87.036569
santarosa	08/17/2026		16-1N-27-0000-00500-0000	2026094	2400290			8649 FORTUNE, MILTON, FL- 32583			10743.7			NO	excluded county (coastal/metro)	Redeemed	https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026	http://srcpa.gov/Parcel/Index2?parcel=16-1N-27-0000-00500-0000	30.601778	-86.961974
santarosa	08/17/2026	12:00 PM	18-1N-28-0000-00460-0000	2026101	2401017			4221 CELTIC CIR, PACE, FL- 32571			3810.49	29361.0	13	NO	excluded county (coastal/metro)	Scheduled	https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026	http://srcpa.gov/Parcel/Index2?parcel=18-1N-28-0000-00460-0000	30.588865	-87.09558
santarosa	08/17/2026	12:00 PM	19-2S-26-0462-00B00-0040	2026091	2403422			NO ADDRESS ON TAX ROLL, NAVARRE, FL- 32566			4204.42	72600.0	6	NO	excluded county (coastal/metro)	Scheduled	https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026	http://srcpa.gov/Parcel/Index2?parcel=19-2S-26-0462-00B00-0040		
santarosa	08/17/2026	12:00 PM	23-1N-29-1210-05800-0080	2026092	2402575			4336 FLORIDATOWN RD, PACE, FL- 32571			53111.49	98093.0	54	NO	excluded county (coastal/metro)	Scheduled	https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026	http://srcpa.gov/Parcel/Index2?parcel=23-1N-29-1210-05800-0080	30.594363	-87.16122
bay	08/18/2026		03528-020-000	2026-0625TD	625			12810 HWY 231, YOUNGSTOWN, FL- 32466			8280.86	167970.0	5	NO	excluded county (coastal/metro)	Redeemed	https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026	https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=03528-020-000		
bay	08/18/2026		04280-000-000	2026-0793TD	793			413 FORTNER AVE, MEXICO BEACH, FL- 32456			1269.65	86435.0	1	NO	excluded county (coastal/metro)	Redeemed	https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026	https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=04280-000-000	29.9334	-85.396298
bay	08/18/2026		04875-080-0000	2026-0831TD	831			202 3RD ST, MEXICO BEACH, FL- 32456			5347.07	167875.0	3	NO	excluded county (coastal/metro)	Redeemed	https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026	https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=04875-080-0000		
bay	08/18/2026		07400-397-0000	2026-1724TD	1724			12135 COUNTRY CLUB DR, PANAMA CITY, FL- 32404			109887.3	203494.0	54	NO	excluded county (coastal/metro)	Redeemed	https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026	https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=07400-397-0000	30.111092	-85.499464
bay	08/18/2026		07504-101-000	2026-1840TD	1840			107 LAKE MERIAL BLVD, SOUTHPORT, FL- 32409			6557.79	102300.0	6	NO	excluded county (coastal/metro)	Redeemed	https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026	https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=07504-101-000	30.382798	-85.669524
