county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
polk,08/20/2026,,23-28-09-0000-0004-2370,00039-2026,888,,"1119 APOLLO CT, LAKELAND, FL- 33810",,,2194.4,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232809000000042370,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,,25-30-06-0000-0001-4220,00041-2026,6085,,"CHILDS AVE N, BARTOW, FL- 33830",,,3369.63,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=253006000000014220,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,09:30 AM ET,252604000000011110,00013-2026,4550,,"DEEN STILL RD E, POLK CITY, FL- 33868",,,1366.68,2066.0,08/20/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=252604000000011110,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,,26-30-27-0000-0003-4020,00028-2026,8984,,"MURPHY RD, BARTOW, FL- 33830",,,9219.37,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=263027000000034020,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,,27-27-21-7550-0000-6081,00037-2026,10248,,"2401 WINGER AVE, HAINES CITY, FL- 33844",,,26862.26,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=272721755000006081,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,,27-27-29-7820-0000-2243,00032-2026,10435,,"LYLE AVE, HAINES CITY, FL- 33844",,,4226.17,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=272729782000002243,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,,27-27-29-7830-0008-7160,00014-2026,10470,,"124 10TH ST N, HAINES CITY, FL- 33844-4320",,,11390.4,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=272729783000087160,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,,27-30-35-9285-2000-0861,00015-2026,11576,,"231 CALOOSA LAKE CIR N, LAKE WALES, FL- 33859",,,72505.32,121868.0,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=273035928520000861,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,09:30 AM ET,272720747300002160,00024-2026,10079,,"805 3RD ST N, HAINES CITY, FL- 33844",,,15037.28,162991.0,08/20/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=272720747300002160,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
polk,08/20/2026,,28-30-01-9390-3005-6011,00035-2026,12916,,"94 SILVERSIDES, LAKE WALES, FL- 33853",,,7095.83,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/20/2026,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=283001939030056011,www.polk.realtaxdeed.com,2026-08-11T18:36:11+00:00
