county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
putnam,08/12/2026,,01-10-26-7200-0070-0010,2024-0000293,2024-0000293,,"400 ASH ST, PALATKA, FL- 32177",,,8474.25,,Redeemed,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=01-10-26-7200-0070-0010,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,02-10-23-7651-0090-0320,2019-0001016,2019-0001016,,"115 MONROE AV, HAWTHORNE, FL- 32640",,,1261.54,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=02-10-23-7651-0090-0320,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,,02-10-26-8520-0000-0620,2024-0000875,2024-0000875,,"108 SHADOW LAWN ST, PALATKA, FL- 32177",,,1259.28,,Redeemed,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=02-10-26-8520-0000-0620,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0170,2019-0003245,2019-0003245,,"Unassigned Location PP, INTERLACHEN, FL- 32148",,,1443.65,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0170,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0180,2019-0003241,2019-0003241,,"214 LIME WAY, INTERLACHEN, FL- 32148",,,1389.23,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0180,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0190,2019-0003242,2019-0003242,,"212 LIME WAY, INTERLACHEN, FL- 32148",,,1360.41,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0190,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0200,2019-0003239,2019-0003239,,"210 LIME WAY, INTERLACHEN, FL- 32148",,,1358.06,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0200,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0260,2019-0003223,2019-0003223,,UNASSIGNED LOCATION PP,,,1466.72,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0260,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0270,2019-0003222,2019-0003222,,"205 LEMON ST, INTERLACHEN, FL- 32148",,,1466.72,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0270,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0280,2019-0003221,2019-0003221,,"207 LEMON ST, INTERLACHEN, FL- 32148",,,1450.84,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0280,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
putnam,08/12/2026,09:00 AM ET,04-10-24-9025-0030-0290,2019-0003220,2019-0003220,,"209 LEMON ST, INTERLACHEN, FL- 32148",,,1443.65,,08/12/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0030-0290,www.putnam.realtaxdeed.com,2026-08-11T18:38:13+00:00
