county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
flagler,08/11/2026,,0411313019000001510,26-049 TDC,2024 / 929,,"276YACHT HARBOR DR, PALM COAST, FL- 32137",,,3566.92,168372.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=04-11-31-3019-00000-1510,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317001000600360,26-040 TDC,2024 / 979,,"21FARRINGTON LN, PALM COAST, FL- 32137",,,11657.38,169203.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7001-00060-0360,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317001001100140,26-019 TDC,2024 / 989,,"49FEDERAL LN, PALM COAST, FL- 32137",,,9466.93,297793.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7001-00110-0140,www.flagler.realtaxdeed.com,2026-08-11T21:38:55+00:00
flagler,08/11/2026,,07113170020RPA21090,26-051 TDC,2024 / 1000,,"1 FLORIDA PARK DR, PALM COAST, FL- 32137",,,10358.25,151734.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7002-0RPA2-1090,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317004001300110,26-046 TDC,2024 / 1009,,"20CRESCENT CT S, PALM COAST, FL- 32137",,,10751.11,149338.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7004-00130-0110,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317007001000080,26-060 TDC,2024 / 1027,,"94FOSTER LN, PALM COAST, FL- 32137",,,10067.56,149437.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7007-00100-0080,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317009002700080,26-066 TDC,2024 / 1067,,"90FARMSWORTH DR, PALM COAST, FL- 32137",,,19929.24,308713.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7009-00270-0080,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317009002700090,26-061 TDC,2024 / 1068,,"88FARMSWORTH DR, PALM COAST, FL- 32137",,,19792.01,306559.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7009-00270-0090,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317010000700840,26-069 TDC,2024 / 1080,,"55FLEMINGWOOD LN, PALM COAST, FL- 32137",,,113612.43,205202.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7010-00070-0840,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
flagler,08/11/2026,,0711317012000800190,26-054 TDC,2024 / 1120,,"33BANNER LN, PALM COAST, FL- 32137",,,13228.69,195000.0,Redeemed,TAXDEED,https://www.flagler.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=4&PageID=4330&Q=1542956115&KeyValue=07-11-31-7012-00080-0190,www.flagler.realtaxdeed.com,2026-08-11T21:38:56+00:00
