county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
hendry,08/13/2026,,1 32 44 25 A00 0207.0000,25-65,23-1415,,"563 HUNTING CLUB AVE, MONTURA RANCHES, FL- 33440",,,0.0,34375.0,Redeemed,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,11:00 AM ET,1 32 44 26 A00 0047.0100,25-66,23-1353,,"255 S NOGAL ST, MONTURA RANCHES, FL- 33440",,,5245.96,34375.0,08/13/2026 11:00 AM ET,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,11:00 AM ET,1 32 44 36 A00 0074.0000,25-72,23-2269,,"550 S TREBOL ST, MONTURA RANCHES, FL- 33440",,,5133.49,34375.0,08/13/2026 11:00 AM ET,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,11:00 AM ET,1 33 44 31 A00 0180.0000,23-70,23-1863,,"645 S LIVE OAK ST, MONTURA RANCHES, FL- 33440",,,5378.33,34375.0,08/13/2026 11:00 AM ET,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,11:00 AM ET,2 29 43 02 670 000A-001.1,25-98,20-2659,,"506 DR M L KING JR BLVD, LABELLE, FL- 33935",,,4231.14,6885.0,08/13/2026 11:00 AM ET,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,11:00 AM ET,4 29 43 10 010 2023-020.0,25-73,23-2688,,"2006 ANET CT, PORT LABELLE, FL- 33935",,,3924.41,18500.0,08/13/2026 11:00 AM ET,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,11:00 AM ET,4 29 43 10 010 2031-025.0,25-74,23-2706,,"2015 HERCULES RD, PORT LABELLE, FL- 33935",,,2528.27,18500.0,08/13/2026 11:00 AM ET,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,,4 29 43 10 020 2041-032.0,25-75,23-2742,,"3003 BOX CT, PORT LABELLE, FL- 33935",,,0.0,19500.0,Redeemed,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,,4 29 43 10 020 2065-030.0,25-76,23-2782,,"3028 W BRIARWOOD CIR, PORT LABELLE, FL- 33935",,,0.0,19500.0,Redeemed,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
hendry,08/13/2026,,4 29 43 10 030 2095-017.0,25-77,23-2855,,"5071 N PEACHTREE CIR, PORT LABELLE, FL- 33935",,,0.0,21600.0,Redeemed,TAXDEED,https://www.hendry.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,www.hendry.realtaxdeed.com,2026-08-11T21:40:16+00:00
