county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
hillsborough,08/13/2026,,0148525708,2026-548,2024 / 1263,,"17521 MARSH RD, LUTZ, FL- 33558",,,58904.51,972012.0,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0148525708,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,10:00 AM ET,0213820274,2026-532,2023 / 2010,,12407 OAK CEDAR PL 102,,,7186.53,,08/13/2026 10:00 AM ET,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0213820274,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,10:00 AM ET,0217430000,2026-540,2023 / 2036,,TAMPA33612,,,2396.2,,08/13/2026 10:00 AM ET,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0217430000,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0246990100,2026-537,2023 / 2344,,"3457 W KENYON AVE, TAMPA, FL- 33614",,,117384.3,2309000.0,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0246990100,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,10:00 AM ET,0275070002,2026-545,2023 / 2505,,TAMPA33634,,,1340.29,,08/13/2026 10:00 AM ET,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0275070002,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0335802398,2026-534,2023 / 2895,,8509 BERCH HALLOW,,,6713.25,,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0335802398,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,10:00 AM ET,0384720000,2026-541,2023 / 3694,,5514 PURITAN AVE,,,1502.05,,08/13/2026 10:00 AM ET,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0384720000,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0423260000,2026-547,2024 / 4427,,"6910 E 29TH AVE, TAMPA, FL- 33619",,,21624.71,315669.0,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0423260000,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0488367900,2026-543,2023 / 4551,,7410 S 52ND AVE,,,7832.45,,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0488367900,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0539650604,2026-544,2023 / 5069,,"6504 ABACO DR 102, APOLLO BEACH, FL- 33572",,,15864.7,197798.0,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0539650604,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,10:00 AM ET,0559210001,2026-538,2023 / 5285,,RUSKIN33570,,,2071.45,,08/13/2026 10:00 AM ET,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0559210001,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0567766771,2026-546,2023 / 5365,,SUN CITY CENTER33573,,,1264.65,,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0567766771,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0684280075,2026-535,2023 / 6752,,"BRANDON, FL- 33510",,,2408.86,12189.0,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0684280075,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,,0744870090,2026-550,2024 / 7975,,927 ESTELLE AVE,,,5205.3,,Redeemed,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0744870090,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
hillsborough,08/13/2026,10:00 AM ET,0923256000,2026-549,2024 / 10672,,2001 JERRI LYNN CT,,,14777.51,,08/13/2026 10:00 AM ET,TAXDEED,https://www.hillsborough.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/13/2026,http://gis.hcpafl.org/propertysearch/#/search/basic/folio=0923256000,www.hillsborough.realtaxdeed.com,2026-08-11T21:43:03+00:00
