county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
sarasota,08/11/2026,,0165100074,2026 TD 000337,1668.0000,,"91 MALER DR, NOKOMIS, FL- 34275",,,3996.76,49194.0,Redeemed,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/0165100074,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,09:21 AM ET,0405090032,2026 TD 000341,2127.0000,,"BARNES PKWY, NOKOMIS, FL- 34275",,,2338.41,1900.0,08/11/2026 09:21 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/0405090032,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,,0452090065,2026 TD 000253,2595.0000,,"0 DEVON RD, VENICE, FL- 34293",,,3089.58,,Redeemed,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/0452090065,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,09:19 AM ET,0789011099,2026 TD 000339,3061.0000,,"99 LAKEVIEW DR, NORTH PORT, FL- 34287",,,6220.8,108166.0,08/11/2026 09:19 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/0789011099,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,09:09 AM ET,0957117603,2026 TD 000324,3780.0000,,"SULTAN AVE, NORTH PORT, FL- 34286",,,3195.13,10700.0,08/11/2026 09:09 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/0957117603,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,09:11 AM ET,0972171913,2026 TD 000328,4503.0000,,"SKAGWAY TER, NORTH PORT, FL- 34291",,,3675.73,17008.0,08/11/2026 09:11 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/0972171913,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,,1004019716,2026 TD 000321,5352.0000,,"SARAH TER, NORTH PORT, FL- 34286",,,3408.49,15800.0,Redeemed,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/1004019716,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,,1004019717,2026 TD 000322,5353.0000,,"SARAH TER, NORTH PORT, FL- 34286",,,3429.9,16200.0,Redeemed,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/1004019717,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,09:04 AM ET,1004020213,2026 TD 000315,5361.0000,,"AFAR AVE, NORTH PORT, FL- 34286",,,3023.91,9517.0,08/11/2026 09:04 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/1004020213,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
sarasota,08/11/2026,09:16 AM ET,1123233334,2026 TD 000333,5824.0000,,"LANGLAIS DR, NORTH PORT, FL- 34288",,,2008.06,5610.0,08/11/2026 09:16 AM ET,TAXDEED,https://www.sarasota.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/11/2026,http://www.sc-pa.com/propertysearch/parcel/1123233334,www.sarasota.realtaxdeed.com,2026-08-11T21:58:24+00:00
