county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
duval,08/12/2026,,002651-1620,2026-0037TD,00417-2024,,"10163 RANCHVIEW DR, JACKSONVILLE, FL- 32219",,,4205.34,62920.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0026511620,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,003297-0000,2026-0041TD,00552-2024,,"7900 W MONCRIEF RD, JACKSONVILLE, FL- 32219",,,10461.39,65906.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0032970000,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,011042-0000,2026-0048TD,01443-2024,,"1202 LE BRUN DR, JACKSONVILLE, FL- 32205",,,126517.98,225527.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0110420000,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,012096-0000,2026-0032TD,01530-2024,,"6926 N HANSON DR, JACKSONVILLE, FL- 32210",,,15575.4,225629.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0120960000,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,013548-0000,2026-0023TD,01835-2024,,"8231 APRIL ST, JACKSONVILLE, FL- 32244",,,1807.0,6955.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0135480000,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,014835-0000,2026-0073TD,02033-2024,,"6067 RICKER RD, JACKSONVILLE, FL- 32244",,,8320.74,73806.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0148350000,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,09:00 AM ET,019428-0040,2026-0082TD,02546-2024,,"13814 LEM TURNER RD, JACKSONVILLE, FL- 32218",,,5068.11,56646.0,08/12/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0194280040,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,019689-0334,2026-0142TD,02630-2024,,"1367 N DUVAL LAKE RD, JACKSONVILLE, FL- 32218",,,5079.69,35987.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0196890334,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,021112-0000,2026-0045TD,02888-2024,,"10221 BEAM ST, JACKSONVILLE, FL- 32218",,,11061.42,137810.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0211120000,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
duval,08/12/2026,,021252-0000,2026-0065TD,02925-2024,,"8023 SMART AVE, JACKSONVILLE, FL- 32219",,,7692.0,153407.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0212520000,www.duval.realtaxdeed.com,2026-08-12T13:24:20+00:00
