county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
hernando,08/12/2026,,00004738,2026-042TD,24-0002480,,"29192 LAWTON DR, NOBLETON, FL- 34661",,,4582.04,38207.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00004738,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,,00011999,2026-043TD,24-0002797,,"810 EASY ST, BROOKSVILLE, FL- 34601",,,18129.37,30525.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00011999,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,,00013041,2026-044TD,24-0002817,,"TWIGG ST, BROOKSVILLE, FL- 34601",,,2326.88,36215.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00013041,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,,00061015,2026-027TD,20-0135300,,"PATRICE RD, DADE CITY, FL- 33523",,,3376.07,5025.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00061015,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,,00083769,2026-034TD,24-0002664,,"8207 NORMANDY DR, WEEKI WACHEE, FL- 34613",,,15142.88,25276.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00083769,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,10:00 AM ET,00101552,2026-046TD,24-0004637,,"7196 CYCLOPS DR, WEEKI WACHEE, FL- 34607",,,5758.95,61664.0,08/12/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00101552,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,,00102383,2026-047TD,24-0004646,,"7076 LYKES ST, WEEKI WACHEE, FL- 34613",,,5099.46,,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00102383,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,10:00 AM ET,00105148,2026-036TD,24-0001852,,"8333 EVERGREEN AVE, BROOKSVILLE, FL- 34613",,,8500.64,82136.0,08/12/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00105148,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,,00136846,2026-049TD,24-0001874,,"18454 LEE AVE, BROOKSVILLE, FL- 34601",,,5025.01,46566.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00136846,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
hernando,08/12/2026,10:00 AM ET,00138791,2026-041TD,24-0001991,,"19399 FORT DADE AVE, BROOKSVILLE, FL- 34601-2413",,,4626.83,65987.0,08/12/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://propsearch.hernandocountypa-florida.us/parcel/00138791,www.hernando.realtaxdeed.com,2026-08-12T13:28:14+00:00
