county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
palmbeach,08/12/2026,,00-42-44-21-19-000-1512,2026-2796TD,3803-2024,,"7892 WILLOW SPRING DR 1512, LAKE WORTH, FL- 33467",,,10738.21,,,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-44-21-19-000-1512,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,00-42-44-25-08-002-0260,2026-2797TD,3963-2024,,"114 PRICE ST, LAKE WORTH, FL- 33461",,,10598.83,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-44-25-08-002-0260,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,00-42-45-18-08-007-0000,2026-2800TD,22237-2024,,"8721 LYONS RD, BOYNTON BEACH, FL- 33472",,,124477.45,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-45-18-08-007-0000,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,00-42-46-15-21-008-6070,2026-2804TD,5796-2024,,"14425 STRATHMORE LN 607, DELRAY BEACH, FL- 33446",,,11527.56,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-46-15-21-008-6070,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,00-42-46-22-10-016-7210,2026-2792TD,6326-2024,,"721 FLANDERS P, DELRAY BEACH, FL- 33484",,,9169.68,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-46-22-10-016-7210,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,00-42-46-30-12-000-6990,2026-2799TD,6743-2024,,"9723 RENNES LN, DELRAY BEACH, FL- 33446",,,91393.21,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-46-30-12-000-6990,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,00-42-47-05-01-000-0330,2026-2793TD,6893-2024,,"18723 LONG LAKE DR, BOCA RATON, FL- 33496",,,115531.97,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-47-05-01-000-0330,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,09:31 AM ET,00-42-47-08-08-002-0770,2025-2304TD,5990-2023,,"77 DORSET B, BOCA RATON, FL- 33434",,,746.45,,08/12/2026 09:31 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-47-08-08-002-0770,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,00-42-47-08-08-006-2450,2026-2803TD,7198-2024,,"245 DORSET F, BOCA RATON, FL- 33434",,,5735.46,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-47-08-08-006-2450,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,09:32 AM ET,04-37-43-31-13-010-0071,2025-2383TD,7817-2023,,,,,6315.12,,08/12/2026 09:32 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=04-37-43-31-13-010-0071,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,04-37-43-32-14-000-0250,2026-2794TD,9328-2024,,"604 NE 2ND ST, BELLE GLADE, FL- 33430",,,151483.36,263422.0,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=04-37-43-32-14-000-0250,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,09:33 AM ET,06-42-47-23-04-013-0040,2026-2655TD,10859-2018,,"S CONFERENCE DR, BOCA RATON, FL- 33486",,,1672.52,,08/12/2026 09:33 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=06-42-47-23-04-013-0040,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,06-43-47-05-21-004-3030,2026-2795TD,10151-2024,,,,,15658.45,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=06-43-47-05-21-004-3030,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,06-43-47-09-09-001-0140,2026-2802TD,10292-2024,,"4401 N OCEAN BLVD 14, BOCA RATON, FL- 33431",,,54608.36,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=06-43-47-09-09-001-0140,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,08-43-45-30-18-000-0010,2026-2801TD,77-2024,,"1500 STONEHAVEN DR 1, BOYNTON BEACH, FL- 33436",,,252418.68,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=08-43-45-30-18-000-0010,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,12-43-46-19-14-002-0220,2026-2798TD,12883-2024,,"2814 IMPERIAL CIR, DELRAY BEACH, FL- 33445",,,9611.36,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=12-43-46-19-14-002-0220,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,38-43-44-21-15-135-0010,2026-2805TD,15138-2024,,"428 S A ST, LAKE WORTH, FL- 33460",,,160248.55,314475.0,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=38-43-44-21-15-135-0010,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,40-43-45-03-15-015-0270,2026-2808TD,15786-2024,,"514 W DREW ST, LANTANA, FL- 33462",,,44885.87,82746.0,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=40-43-45-03-15-015-0270,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,40-43-45-03-16-024-0010,2026-2806TD,15788-2024,,"713 S BROADWAY, LANTANA, FL- 33462",,,19002.21,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=40-43-45-03-16-024-0010,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,40-43-45-03-33-000-0150,2026-2807TD,15817-2024,,"1300 S BROADWAY 15, LANTANA, FL- 33462",,,6670.8,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=40-43-45-03-33-000-0150,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,08/12/2026,,41-41-43-17-01-326-0050,2026-2810TD,15920-2024,,"3642 C RD, LOXAHATCHEE, FL- 33470",,,34385.23,,Canceled per County,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/12/2026,https://pbcpao.gov/Property/Details?parcelId=41-41-43-17-01-326-0050,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:22+00:00
palmbeach,09/16/2026,09:30 AM ET,00-37-41-33-01-001-0010,2026-2686TD,88-2022,,"37095 CANAL ST, CANAL POINT, FL- 33438",,,1986.52,,09/16/2026 09:30 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-37-41-33-01-001-0010,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,09:30 AM ET,00-42-43-26-12-000-0330,2026-2846TD,2687-2024,,"5200 MOBILAIRE DR, WEST PALM BEACH, FL- 33417",,,12783.72,,09/16/2026 09:30 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-43-26-12-000-0330,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,,00-42-45-23-16-000-3711,2026-2861TD,4951-2024,,"5091 SPLENDIDO CT K, BOYNTON BEACH, FL- 33437",,,126707.01,225638.0,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-45-23-16-000-3711,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,09:30 AM ET,00-42-45-27-02-007-0280,2026-2847TD,5141-2024,,"6275 INDIAN WELLS BLVD, BOYNTON BEACH, FL- 33437",,,1063.37,,09/16/2026 09:30 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-45-27-02-007-0280,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,,00-42-46-10-01-001-0181,2026-2848TD,5518-2024,,"13301 VIA VESTA A, DELRAY BEACH, FL- 33484",,,16333.64,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-46-10-01-001-0181,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,,00-42-46-11-07-001-1660,2026-2850TD,5575-2024,,"13893 VIA AURORA D, DELRAY BEACH, FL- 33484",,,78225.31,141521.0,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-46-11-07-001-1660,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,09:30 AM ET,00-42-46-11-07-010-0180,2026-2853TD,5606-2024,,"5635 QUEEN PALM CT G, DELRAY BEACH, FL- 33484",,,71542.97,130285.0,09/16/2026 09:30 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-46-11-07-010-0180,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,09:30 AM ET,00-42-46-21-10-000-0703,2026-2856TD,5964-2024,,"7521 GLENDEVON LN 703, DELRAY BEACH, FL- 33446",,,11575.47,,09/16/2026 09:30 AM ET,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-42-46-21-10-000-0703,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,,00-43-44-32-02-000-0240,2026-2691TD,7412-2023,,LAKE OSBORNE DR,,,1357.02,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=00-43-44-32-02-000-0240,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
palmbeach,09/16/2026,,04-37-43-31-01-030-0830,2026-2849TD,9159-2024,,"633 SW AVENUE D, BELLE GLADE, FL- 33430",,,8958.89,,Redeemed,TAXDEED,https://www.palmbeach.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,https://pbcpao.gov/Property/Details?parcelId=04-37-43-31-01-030-0830,www.palmbeach.realtaxdeed.com,2026-08-12T13:39:38+00:00
