county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
washington,08/18/2026,10:00 AM,00000000-01-0045-0012,2026-TD-113,23-00-01493,,"WALKERTON DR, CHIPLEY, FL- 32428",,,2567.7,2900.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-01-0045-0012,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,10:00 AM,00000000-01-0065-0009,2026-TD-114,19-00-01792,,"WALKERTON DR, CHIPLEY, FL- 32428",,,1144.72,2900.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-01-0065-0009,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,10:00 AM,00000000-01-0065-0010,2026-TD-115,19-00-01793,,"WALKERTON DR, CHIPLEY, FL- 32428",,,1198.86,2900.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-01-0065-0010,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,,00000000-01-0099-0008,2026-TD-116,19-00-01857,,"NEWMOON DR, CHIPLEY, FL- 32428",,,1358.17,2900.0,Redeemed,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-01-0099-0008,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,10:00 AM,00000000-01-0116-0014,2026-TD-117,23-00-01645,,"RYAN CT, CHIPLEY, FL- 32428",,,2616.56,2900.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-01-0116-0014,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,10:00 AM,00000000-01-0117-0019,2026-TD-108,21-00-01540,,"CAREY BLVD, CHIPLEY, FL- 32428",,,2303.03,2900.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-01-0117-0019,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,,00000000-03-0295-0015,2026-TD-110,22-00-01839,,"NORWOOD AVE, CHIPLEY, FL- 32428",,,1838.23,2900.0,Redeemed,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-03-0295-0015,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,10:00 AM,00000000-04-0206-0005,2026-TD-111,21-00-01928,,"BANCROFT DR, CHIPLEY, FL- 32428",,,2540.77,2900.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-04-0206-0005,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,10:00 AM,00000000-04-1643-0006,2026-TD-118,22-00-01970,,"MARLENE ST, CHIPLEY, FL- 32428",,,4054.94,2900.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-04-1643-0006,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,,00000000-06-0339-0004,2026-TD-120,19-00-02299,,"WELTON PL, CHIPLEY, FL- 32428",,,1383.79,2900.0,Redeemed,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-06-0339-0004,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
washington,08/18/2026,10:00 AM,00000000-06-0395-0036,2026-TD-100,23-00-02271,,"1530 ALDORO CIR, CHIPLEY, FL- 32428",,,2658.32,3543.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-06-0395-0036,www.washington.realtaxdeed.com,2026-08-12T13:47:50+00:00
