county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
alachua,09/15/2026,10:00 AM ET,01386-100-062,TD 2026-020,2024-171,,UNASSIGNED LOCATION RE,,,3232.94,,09/15/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=01386-100-062,www.alachua.realtaxdeed.com,2026-08-15T02:33:37+00:00
alachua,09/15/2026,10:00 AM ET,01550-001-000,TD 2026-021,2024-247,,UNASSIGNED LOCATION RE,,,4425.67,,09/15/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=01550-001-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:37+00:00
alachua,09/15/2026,10:00 AM ET,06650-204-004,TD 2026-022,2024-1731,,"605 SW 75TH ST UNIT 204, GAINESVILLE, FL- 32607",,,4960.7,,09/15/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=06650-204-004,www.alachua.realtaxdeed.com,2026-08-15T02:33:37+00:00
alachua,09/15/2026,,11570-000-000,TD 2026-023,2024-3080,,"110 SE 12TH ST, GAINESVILLE, FL- 32641",,,4445.02,,Redeemed,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=11570-000-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:37+00:00
alachua,09/22/2026,10:00 AM ET,00310-012-000,TD 2026-027,2024-66,,UNASSIGNED LOCATION RE,,,2890.96,,09/22/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/22/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=00310-012-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:41+00:00
alachua,09/22/2026,10:00 AM ET,02684-000-000,TD 2026-024,2024-477,,UNASSIGNED LOCATION RE,,,8061.3,,09/22/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/22/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=02684-000-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:41+00:00
alachua,09/22/2026,10:00 AM ET,07214-031-000,TD 2026-028,2024-2246,,"1832 SW 42ND AVE, GAINESVILLE, FL- 32608",,,4914.96,,09/22/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/22/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=07214-031-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:41+00:00
alachua,09/22/2026,10:00 AM ET,10733-009-000,TD 2026-025,2024-2891,,"922 NE 19TH ST, GAINESVILLE, FL- 32641",,,20841.26,,09/22/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/22/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=10733-009-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:41+00:00
alachua,09/22/2026,10:00 AM ET,10893-024-000,TD 2026-026,2024-2974,,"314 SE 39TH ST, GAINESVILLE, FL- 32641",,,9716.25,,09/22/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/22/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=10893-024-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:41+00:00
alachua,10/06/2026,10:00 AM ET,06890-036-000,TD 2026-029,2024-2088,,"4928 SW 64TH ST, GAINESVILLE, FL- 32608",,,6412.42,,10/06/2026 10:00 AM ET,TAXDEED,https://www.alachua.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=10/06/2026,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=06890-036-000,www.alachua.realtaxdeed.com,2026-08-15T02:33:45+00:00
