county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
bay,08/18/2026,,03528-020-000,2026-0625TD,625,,"12810 HWY 231, YOUNGSTOWN, FL- 32466",,,8280.86,167970.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=03528-020-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,04280-000-000,2026-0793TD,793,,"413 FORTNER AVE, MEXICO BEACH, FL- 32456",,,1269.65,86435.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=04280-000-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,04875-080-0000,2026-0831TD,831,,"202 3RD ST, MEXICO BEACH, FL- 32456",,,5347.07,167875.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=04875-080-0000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,07400-397-0000,2026-1724TD,1724,,"12135 COUNTRY CLUB DR, PANAMA CITY, FL- 32404",,,109887.3,203494.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=07400-397-0000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,07504-101-000,2026-1840TD,1840,,"107 LAKE MERIAL BLVD, SOUTHPORT, FL- 32409",,,6557.79,102300.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=07504-101-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,07504-102-000,2026-1841TD,1841,,"109 LAKE MERIAL BLVD, SOUTHPORT, FL- 32409",,,6547.5,102300.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=07504-102-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,11300-315-000,2026-2282TD,2282,,"2041 SHAMROCK LN, LYNN HAVEN, FL- 32444",,,8130.3,224561.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=11300-315-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,10:00 AM,11454-000-000,2026-2318TD,2318,,"3814 E 43RD ST, PANAMA CITY, FL- 32404",,,10503.01,131880.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=11454-000-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,13145-050-000,2026-2671TD,2671,,"HWY 390, PANAMA CITY, FL- 32405",,,28399.63,502719.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=13145-050-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,14697-000-000,2026-2816TD,2816,,"2007 SHERMAN AVE, PANAMA CITY, FL- 32405",,,9402.01,199731.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=14697-000-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,15124-000-000,2026-2894TD,2894,,"3616 E 13TH CT, PANAMA CITY, FL- 32404",,,5653.62,117136.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=15124-000-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,23796-000-000,2026-3789TD,3789,,"245 SPRINGFIELD AVE, PANAMA CITY, FL- 32401",,,45852.75,83648.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=23796-000-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,10:00 AM,25166-038-000,2026-3969TD,3969,,"515 S HWY 22A, PANAMA CITY, FL- 32404",,,2235.41,10247.0,08/18/2026 10:00 AM CT,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=25166-038-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,31317-010-000,2026-4790TD,4790,,"DELWOOD BEACH RD, PANAMA CITY BEACH, FL- 32408",,,19970.8,453193.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=31317-010-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,34994-682-000,2026-5427TD,5427,,"9850 THOMAS DR 1206W, PANAMA CITY BEACH, FL- 32408",,,10190.76,264799.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=34994-682-000,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,40000-650-346,2026-5898TD,5898,,"9900 S THOMAS DR 2007, PANAMA CITY BEACH, FL- 32408",,,17855.65,348456.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=40000-650-346,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/18/2026,,40000-850-078,2026-5944TD,5944,,"6422 HWY 98 1404, PANAMA CITY BEACH, FL- 32407",,,15734.4,352750.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=40000-850-078,www.bay.realtaxdeed.com,2026-08-15T02:34:15+00:00
bay,08/25/2026,,08428-150-470,2026-2069TD,2069,,"368 CONFIDENCE WAY, SOUTHPORT, FL- 32409",,,20133.49,455204.0,Redeemed,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/25/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=08428-150-470,www.bay.realtaxdeed.com,2026-08-15T02:34:23+00:00
bay,08/25/2026,10:00 AM,10589-000-000,2026-2225TD,2225,,"1507 IOWA AVE, LYNN HAVEN, FL- 32444",,,6511.11,97606.0,08/25/2026 10:00 AM CT,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/25/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=10589-000-000,www.bay.realtaxdeed.com,2026-08-15T02:34:23+00:00
bay,08/25/2026,10:00 AM,21315-000-000,2026-3550TD,3550,,"127 N COVE TERRACE DR, PANAMA CITY, FL- 32401",,,9992.3,150492.0,08/25/2026 10:00 AM CT,TAXDEED,https://www.bay.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/25/2026,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=21315-000-000,www.bay.realtaxdeed.com,2026-08-15T02:34:23+00:00
