county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
osceola,08/18/2026,,082530289200010080,17532024,17532024,,"2628 BELMONT PL, KISSIMMEE, FL- 34744",,,251250.6,468551.0,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=082530289200010080,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,142731000043110020,28622024,28622024,,,,,1528.9,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=142731000043110020,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,152529105000TL0010,28952024,28952024,,,,,3693.88,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=152529105000TL0010,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,152529105000TL0040,28972024,28972024,,,,,3789.28,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=152529105000TL0040,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,152529157000010890,29202024,29202024,,,,,3720.92,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=152529157000010890,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,152529543000010100,29462024,29462024,,,,,1944.99,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=152529543000010100,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,11:00 AM ET,182529184900011105,34492024,34492024,,"4117 OAK CANOPY CT 1105, KISSIMMEE, FL- 34741",,,3607.14,41394.0,08/18/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=182529184900011105,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,11:00 AM ET,182733272000011140,37342024,37342024,,"DENVER DR, SAINT CLOUD, FL- 34773",,,3175.66,51300.0,08/18/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=182733272000011140,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,11:00 AM ET,352630495000010480,59612024,59612024,,"3750 CORD AVE, SAINT CLOUD, FL- 34772",,,18812.74,327577.0,08/18/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=352630495000010480,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,3627316000000L1050,61152024,61152024,,,,,1989.55,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=3627316000000L1050,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,3627316000000L1145,61172024,61172024,,"HOLOPAW GROVES RD, SAINT CLOUD, FL- 34771",,,1411.26,3600.0,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=3627316000000L1145,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,,3627316000000L1240,61212024,61212024,,,,,1948.41,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=3627316000000L1240,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,08/18/2026,11:00 AM ET,3627316000000L1620,61362024,61362024,,"HOLOPAW GROVES RD, SAINT CLOUD, FL- 34771",,,831.98,1800.0,08/18/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/18/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=3627316000000L1620,www.osceola.realtaxdeed.com,2026-08-15T02:51:08+00:00
osceola,09/15/2026,11:00 AM ET,0926315330000B0092,19972024,19972024,,"1850 MATHIS RD, SAINT CLOUD, FL- 34771",,,8426.06,91954.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=0926315330000B0092,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,112528539700030280,22382024,22382024,,"2751 N POINCIANA BLVD 28, KISSIMMEE, FL- 34746",,,10761.38,157647.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=112528539700030280,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,,172629325900010570,32172024,32172024,,,,,171106.42,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=172629325900010570,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,202531426000010255,39172024,39172024,,"701 WIGGINS RD, SAINT CLOUD, FL- 34771",,,10793.18,123500.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=202531426000010255,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,2125291900000D0090,40212024,40212024,,"HILL ST, KISSIMMEE, FL- 34741",,,2777.36,23278.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=2125291900000D0090,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,242730000000150000,43972024,43972024,,"5331 CANOE CREEK RD, SAINT CLOUD, FL- 34772",,,8486.98,155400.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=242730000000150000,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,243033000000550000,44612024,44612024,,"KENANSVILLE RD, KENANSVILLE, FL- 34739",,,6995.81,115800.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=243033000000550000,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,,252628610005290210,45682024,45682024,,"OGLETHORPE CT, KISSIMMEE, FL- 34758",,,2170.61,24434.0,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628610005290210,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,252628610005640170,45842024,45842024,,"CAMBRIDGE CT, KISSIMMEE, FL- 34758",,,3317.6,31720.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628610005640170,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,252628610006100460,46032024,46032024,,,,,77858.25,,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628610006100460,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,252628610006500040,46142024,46142024,,,,,2811.03,,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628610006500040,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,252628611815430190,47332024,47332024,,,,,14364.63,,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628611815430190,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,252628612818090080,47692024,47692024,,,,,2787.43,,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628612818090080,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
osceola,09/15/2026,11:00 AM ET,262630061300012490,58392019,58392019,,,,,11596.81,,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/15/2026,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=262630061300012490,www.osceola.realtaxdeed.com,2026-08-15T02:51:15+00:00
