county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
santarosa,08/17/2026,,10-1N-28-0870-00200-0041,2026099,2400781,,"4924 HENRY ST, MILTON, FL- 32570",,,4793.42,55983.0,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026,http://srcpa.gov/Parcel/Index2?parcel=10-1N-28-0870-00200-0041,www.santarosa.realtaxdeed.com,2026-08-15T02:56:37+00:00
santarosa,08/17/2026,,16-1N-27-0000-00500-0000,2026094,2400290,,"8649 FORTUNE, MILTON, FL- 32583",,,10743.7,,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026,http://srcpa.gov/Parcel/Index2?parcel=16-1N-27-0000-00500-0000,www.santarosa.realtaxdeed.com,2026-08-15T02:56:37+00:00
santarosa,08/17/2026,12:00 PM,18-1N-28-0000-00460-0000,2026101,2401017,,"4221 CELTIC CIR, PACE, FL- 32571",,,3810.49,29361.0,08/17/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026,http://srcpa.gov/Parcel/Index2?parcel=18-1N-28-0000-00460-0000,www.santarosa.realtaxdeed.com,2026-08-15T02:56:37+00:00
santarosa,08/17/2026,12:00 PM,19-2S-26-0462-00B00-0040,2026091,2403422,,"NO ADDRESS ON TAX ROLL, NAVARRE, FL- 32566",,,4204.42,72600.0,08/17/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026,http://srcpa.gov/Parcel/Index2?parcel=19-2S-26-0462-00B00-0040,www.santarosa.realtaxdeed.com,2026-08-15T02:56:37+00:00
santarosa,08/17/2026,12:00 PM,23-1N-29-1210-05800-0080,2026092,2402575,,"4336 FLORIDATOWN RD, PACE, FL- 32571",,,53111.49,98093.0,08/17/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/17/2026,http://srcpa.gov/Parcel/Index2?parcel=23-1N-29-1210-05800-0080,www.santarosa.realtaxdeed.com,2026-08-15T02:56:37+00:00
santarosa,08/24/2026,,03-2S-27-0000-00441-0000,2026114,2403659,,"2912 CRITTENDEN DR, NAVARRE, FL- 32566",,,6142.51,117973.0,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/24/2026,http://srcpa.gov/Parcel/Index2?parcel=03-2S-27-0000-00441-0000,www.santarosa.realtaxdeed.com,2026-08-15T02:56:41+00:00
santarosa,08/24/2026,12:00 PM,11-1N-27-0000-01200-0000,2026113,2201122,,"9551 AMERICAN FARMS RD, MILTON, FL- 32583",,,16734.45,174404.0,08/24/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/24/2026,http://srcpa.gov/Parcel/Index2?parcel=11-1N-27-0000-01200-0000,www.santarosa.realtaxdeed.com,2026-08-15T02:56:41+00:00
santarosa,08/24/2026,,12-1N-29-0000-01000-0000,2026117,2402406,,"5392 HWY 90, PACE, FL- 32571",,,11616.03,197033.0,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/24/2026,http://srcpa.gov/Parcel/Index2?parcel=12-1N-29-0000-01000-0000,www.santarosa.realtaxdeed.com,2026-08-15T02:56:41+00:00
santarosa,08/24/2026,12:00 PM,19-2S-27-1010-00A00-1280,2026116,2403760,,"5646 CHARTER CIR, GULF BREEZE, FL- 32563",,,5149.27,158100.0,08/24/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/24/2026,http://srcpa.gov/Parcel/Index2?parcel=19-2S-27-1010-00A00-1280,www.santarosa.realtaxdeed.com,2026-08-15T02:56:41+00:00
santarosa,08/24/2026,12:00 PM,40-1N-28-0090-37900-0010,2026110,2401230,,"NO ADDRESS ON TAX ROLL, MILTON, FL- 32583",,,3955.59,44081.0,08/24/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=08/24/2026,http://srcpa.gov/Parcel/Index2?parcel=40-1N-28-0090-37900-0010,www.santarosa.realtaxdeed.com,2026-08-15T02:56:41+00:00
