county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,source_host,scraped_at
citrus,09/16/2026,10:00 AM ET,1651531,2026-0171TD,23-0223,,3955 E BENNETT ST,,,1766.38,4952.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1651531&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1651573,2026-0166TD,23-0224,,4059 E BENNETT ST,,,1656.0,4952.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1651573&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1652847,2026-0172TD,23-0229,,504 N SAVARY AVE,,,1333.24,5057.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1652847&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1653495,2026-0165TD,23-0231,,3507 E LEE DR,,,1748.42,9902.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1653495&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1654467,2026-0175TD,23-0235,,3352 E LEE DR,,,1690.54,3707.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1654467&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1660033,2026-0164TD,23-0258,,3600 E KIRBY LN,,,2181.0,7174.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1660033&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1660173,2026-0167TD,23-0259,,957 S SALLY TER,,,1940.34,5617.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1660173&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1663393,2026-0162TD,23-0279,,461 S SNAPP AVE,,,1646.3,11108.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1663393&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1663962,2026-0173TD,23-0283,,366 S SAVARY AVE,,,1735.63,5815.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1663962&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
citrus,09/16/2026,10:00 AM ET,1667101,2026-0163TD,23-0413,,2728 E CENTER ST,,,2206.14,5856.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=09/16/2026,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1667101&jur=19&LMparent=20,www.citrus.realtaxdeed.com,2026-08-17T11:04:42+00:00
